4.633, 1.354, 0.762
4.633, 1.355, 0.762
4.640, 1.355, 0.761
4.641, 1.353, 0.760
4.648, 1.357, 0.760
4.640, 1.357, 0.762
4.646, 1.358, 0.761
4.643, 1.355, 0.767
4.645, 1.355, 0.766
4.643, 1.357, 0.769
4.644, 1.356, 0.770
4.646, 1.355, 0.765
4.657, 1.356, 0.768
4.660, 1.357, 0.767
4.663, 1.353, 0.766
4.650, 1.351, 0.770
4.640, 1.354, 0.765
4.641, 1.357, 0.767
4.646, 1.352, 0.764
4.657, 1.352, 0.768
4.653, 1.354, 0.763
4.651, 1.353, 0.765
4.655, 1.352, 0.768
4.655, 1.353, 0.770
4.655, 1.353, 0.768
4.657, 1.349, 0.764
4.657, 1.350, 0.766
4.657, 1.354, 0.769
4.658, 1.353, 0.767
4.662, 1.354, 0.765
4.660, 1.353, 0.765
4.655, 1.354, 0.766
4.651, 1.353, 0.767
4.655, 1.352, 0.764
4.649, 1.352, 0.763
4.652, 1.352, 0.768
4.668, 1.353, 0.764
4.673, 1.352, 0.762
4.672, 1.349, 0.764
4.675, 1.348, 0.763
4.676, 1.352, 0.762
4.678, 1.350, 0.763
4.671, 1.347, 0.759
4.669, 1.350, 0.761
4.667, 1.352, 0.763
4.663, 1.361, 0.765
4.665, 1.357, 0.760
4.665, 1.359, 0.764
4.661, 1.361, 0.764
4.664, 1.359, 0.760
4.661, 1.356, 0.763
4.659, 1.357, 0.758
4.664, 1.356, 0.754
4.660, 1.358, 0.758
4.657, 1.360, 0.759
4.661, 1.357, 0.761
4.655, 1.359, 0.760
